"","file","kw","kw.sub","ref"
"1","Aamer, 1981. Aussprachepraxis des Hocharabischen in Kairo - Phonetik, Phonologie, Behandlung des lrāb, Einfluss des Dialekts auf die Morphologie.md","Arabic","Standard","Aamer (1981)"
"2","Aamer, 1981. Aussprachepraxis des Hocharabischen in Kairo - Phonetik, Phonologie, Behandlung des lrāb, Einfluss des Dialekts auf die Morphologie.md","pause",NA,"Aamer (1981)"
"3","Aamer, 1981. Aussprachepraxis des Hocharabischen in Kairo - Phonetik, Phonologie, Behandlung des lrāb, Einfluss des Dialekts auf die Morphologie.md","Egypt",NA,"Aamer (1981)"
"4","Abu Elhija, 2014. A new writing system.md","orthography",NA,"Abu Elhija (2014)"
"5","Abu Elhija, 2014. A new writing system.md","Arabic",NA,"Abu Elhija (2014)"
"6","Abu Elhija, 2014. A new writing system.md","CMC",NA,"Abu Elhija (2014)"
"7","Abu-Absi, 1984. Language planning and education in the Arab world.md","diglossia",NA,"Abu-Absi (1984)"
"8","Abu-Absi, 1984. Language planning and education in the Arab world.md","language-planning",NA,"Abu-Absi (1984)"
"9","Abu-Absi, 1984. Language planning and education in the Arab world.md","Arabic",NA,"Abu-Absi (1984)"
"10","Abu-Absi, 1986. The Modernization of Arabic.md","language-planning",NA,"Abu-Absi (1986)"
"11","Abu-Absi, 1986. The Modernization of Arabic.md","Arabic","Standard","Abu-Absi (1986)"
"12","Abu-Absi, 1990. A Characterization of the Language of Iftaḥ yā Simsim.md","Arabic","Standard","Abu-Absi (1990)"
"13","Abu-Absi, 1990. A Characterization of the Language of Iftaḥ yā Simsim.md","diglossia",NA,"Abu-Absi (1990)"
"14","Abu-Rabia, 1998. Reading Arabic texts - Effects of text type, reader type and vowelization.md","reading",NA,"Abu-Rabia (1998)"
"15","Abu-Rabia, 1998. Reading Arabic texts - Effects of text type, reader type and vowelization.md","orthography",NA,"Abu-Rabia (1998)"
"16","Abu-Rabia, 1998. Reading Arabic texts - Effects of text type, reader type and vowelization.md","Arabic",NA,"Abu-Rabia (1998)"
"17","Abu-Rabia, 2001. The role of vowels in reading Semitic scripts.md","Arabic",NA,"Abu-Rabia (2001)"
"18","Abu-Rabia, 2001. The role of vowels in reading Semitic scripts.md","reading",NA,"Abu-Rabia (2001)"
"19","Abu-Rabia, 2001. The role of vowels in reading Semitic scripts.md","orthography",NA,"Abu-Rabia (2001)"
"20","Agius, 1991. Precedence of VOS over VSO in Modern Standard Arabic.md","Arabic","Standard","Agius (1991)"
"21","Agius, 1991. Precedence of VOS over VSO in Modern Standard Arabic.md","syntax",NA,"Agius (1991)"
"22","Al Batal, 2002. Identity and Language Tension in Lebanon.md","diglossia",NA,"Al Batal (2002)"
"23","Al Batal, 2002. Identity and Language Tension in Lebanon.md","code-switching",NA,"Al Batal (2002)"
"24","Al Batal, 2002. Identity and Language Tension in Lebanon.md","Arabic",NA,"Al Batal (2002)"
"25","Al-Wer, 1997. Arabic between reality and ideology.md","sociolinguistics",NA,"Al-Wer (1997)"
"26","Al-Wer, 1997. Arabic between reality and ideology.md","language-ideology",NA,"Al-Wer (1997)"
"27","Al-Wer, 1997. Arabic between reality and ideology.md","Arabic","Standard","Al-Wer (1997)"
"28","Albirini, 2011. Grammatical Features of Egyptian and Palestinian Arabic Heritage Speakers’ Oral Production.md","Arabic",NA,"Albirini (2011)"
"29","Albirini, 2011. Grammatical Features of Egyptian and Palestinian Arabic Heritage Speakers’ Oral Production.md","heritage-speakers",NA,"Albirini (2011)"
"30","Albirini, 2011. Grammatical Features of Egyptian and Palestinian Arabic Heritage Speakers’ Oral Production.md","syntax",NA,"Albirini (2011)"
"31","Albirini, 2011. Grammatical Features of Egyptian and Palestinian Arabic Heritage Speakers’ Oral Production.md","morphology",NA,"Albirini (2011)"
"32","Albirini, 2011. The sociolinguistic functions of codeswitching between Standard Arabic and Dialectal Arabic.md","code-switching",NA,"Albirini (2011)"
"33","Albirini, 2011. The sociolinguistic functions of codeswitching between Standard Arabic and Dialectal Arabic.md","diglossia",NA,"Albirini (2011)"
"34","Albirini, 2011. The sociolinguistic functions of codeswitching between Standard Arabic and Dialectal Arabic.md","Arabic",NA,"Albirini (2011)"
"35","Albirini, 2013. Gender and number agreement in the oral production of Arabic Heritage speakers.md","Arabic",NA,"Albirini (2013)"
"36","Albirini, 2013. Gender and number agreement in the oral production of Arabic Heritage speakers.md","heritage-speakers",NA,"Albirini (2013)"
"37","Albirini, 2013. Gender and number agreement in the oral production of Arabic Heritage speakers.md","syntax",NA,"Albirini (2013)"
"38","Albirini, 2014. Aspects of second-language transfer in the oral production of Egyptian and Palestinian heritage speakers.md","heritage-speakers",NA,"Albirini (2014)"
"39","Albirini, 2014. Aspects of second-language transfer in the oral production of Egyptian and Palestinian heritage speakers.md","Arabic",NA,"Albirini (2014)"
"40","Albirini, 2014. Aspects of second-language transfer in the oral production of Egyptian and Palestinian heritage speakers.md","syntax",NA,"Albirini (2014)"
"41","Albirini, 2014. The Role of the Colloquial Varieties in the Acquisition of the Standard Variety - The Case of Arabic Heritage Speakers.md","Arabic",NA,"Albirini (2014)"
"42","Albirini, 2014. The Role of the Colloquial Varieties in the Acquisition of the Standard Variety - The Case of Arabic Heritage Speakers.md","heritage-speakers",NA,"Albirini (2014)"
"43","Alrabaa, 1986. Diglossia in the Classroom - The Arabic Case.md","language-instruction",NA,"Alrabaa (1986)"
"44","Alrabaa, 1986. Diglossia in the Classroom - The Arabic Case.md","FLA",NA,"Alrabaa (1986)"
"45","Alrabaa, 1986. Diglossia in the Classroom - The Arabic Case.md","diglossia",NA,"Alrabaa (1986)"
"46","Alrabaa, 1986. Diglossia in the Classroom - The Arabic Case.md","Arabic","Standard","Alrabaa (1986)"
"47","Altoma, 1974. Language Education in Arab Countries and the Role of the Academies.md","language-ideology",NA,"Altoma (1974)"
"48","Altoma, 1974. Language Education in Arab Countries and the Role of the Academies.md","language-planning",NA,"Altoma (1974)"
"49","Altoma, 1974. Language Education in Arab Countries and the Role of the Academies.md","Arabic","Standard","Altoma (1974)"
"50","Altoma, 1974. Language Education in Arab Countries and the Role of the Academies.md","language-instruction",NA,"Altoma (1974)"
"51","Altoma, 1974. Language Education in Arab Countries and the Role of the Academies.md","FLA",NA,"Altoma (1974)"
"52","Amara, 1995. Arabic Diglossia in the Classroom.md","Arabic","Standard","Amara (1995)"
"53","Amara, 1995. Arabic Diglossia in the Classroom.md","language-instruction",NA,"Amara (1995)"
"54","Amara, 1995. Arabic Diglossia in the Classroom.md","FLA",NA,"Amara (1995)"
"55","Ammon, 1986. Explikation der Begriffe ‘Standardvarietät’ und ‘Standardsprache’ auf normtheoretischer Grundlage.md","standard-language",NA,"Ammon (1986)"
"56","Arts, 2014. arTenTen.md","Arabic",NA,"Arts (2014)"
"57","Arts, 2014. arTenTen.md","corpus-linguistics",NA,"Arts (2014)"
"58","Atkinson, 1982. Understanding formality - the categorization and production of ‘formal’ interaction.md","formality",NA,"Atkinson (1982)"
"59","Atkinson, 1982. Understanding formality - the categorization and production of ‘formal’ interaction.md","anthropology",NA,"Atkinson (1982)"
"60","Ayari, 1996. Diglossia and illiteracy in the Arab world.md","literacy",NA,"Ayari (1996)"
"61","Ayari, 1996. Diglossia and illiteracy in the Arab world.md","diglossia",NA,"Ayari (1996)"
"62","Ayari, 1996. Diglossia and illiteracy in the Arab world.md","Arabic",NA,"Ayari (1996)"
"63","Ayoub, 2006. Lahn.md","icraab",NA,"Ayoub (2006)"
"64","Ayoub, 2006. Lahn.md","language-ideology",NA,"Ayoub (2006)"
"65","Ayoub, 2006. Lahn.md","Arabic","Standard","Ayoub (2006)"
"66","Aḥmad, 2015. Aṯar istixdām al-ʿāmmiyya fī taʿlīm al-luġa al-ʿarabiyya li-n-nāṭiqīn bi-ġayrihā.md","Arabic",NA,"Aḥmad (2015)"
"67","Aḥmad, 2015. Aṯar istixdām al-ʿāmmiyya fī taʿlīm al-luġa al-ʿarabiyya li-n-nāṭiqīn bi-ġayrihā.md","language-ideology","primary-source","Aḥmad (2015)"
"68","Badawi, 1985. Educated Spoken Arabic - A problem in teaching Arabic as a second language.md","diglossia",NA,"Badawi (1985)"
"69","Badawi, 1985. Educated Spoken Arabic - A problem in teaching Arabic as a second language.md","icraab",NA,"Badawi (1985)"
"70","Badawi, 1985. Educated Spoken Arabic - A problem in teaching Arabic as a second language.md","Arabic",NA,"Badawi (1985)"
"71","Badawi, 2006. Arabic for Non-native Speakers in the 21st Century - A Shopping List.md","Arabic","Standard","Badawi (2006)"
"72","Badawi, 2006. Arabic for Non-native Speakers in the 21st Century - A Shopping List.md","language-instruction",NA,"Badawi (2006)"
"73","Badawi, 2006. Arabic for Non-native Speakers in the 21st Century - A Shopping List.md","SLA",NA,"Badawi (2006)"
"74","Badawī, 1973. Mustawayāt al-ʿArabīyah al-Muʿāṣirah fī Miṣr.md","diglossia",NA,"Badawī (1973)"
"75","Badawī, 1973. Mustawayāt al-ʿArabīyah al-Muʿāṣirah fī Miṣr.md","Arabic",NA,"Badawī (1973)"
"76","Badawī, 1973. Mustawayāt al-ʿArabīyah al-Muʿāṣirah fī Miṣr.md","code-switching",NA,"Badawī (1973)"
"77","Bailey, 1991. Images of English - a cultural history of the language.md","standard-language",NA,"Bailey (1991)"
"78","Bailey, 1991. Images of English - a cultural history of the language.md","language-ideology",NA,"Bailey (1991)"
"79","Bailey, 1991. Images of English - a cultural history of the language.md","English",NA,"Bailey (1991)"
"80","Barr, 2013. Random effects structure for confiramtory hypothesis testing.md","statistics",NA,"Barr (2013)"
"81","Bartsch, 1987. Norms of language - theoretical and practical aspects, London.md","standard-language",NA,"Bartsch (1987)"
"82","Bartsch, 1987. Norms of language - theoretical and practical aspects, London.md","German",NA,"Bartsch (1987)"
"83","Bartsch, 1989. A Normtheoretical Approach to Functional and Status Types of Language.md","standard-language",NA,"Bartsch (1989)"
"84","Bartsch, 1989. A Normtheoretical Approach to Functional and Status Types of Language.md","German",NA,"Bartsch (1989)"
"85","Bassiouney, 2003. Theories of Code Switching in the Light of Empirical Evidence from Egypt.md","code-switching",NA,"Bassiouney (2003)"
"86","Bassiouney, 2003. Theories of Code Switching in the Light of Empirical Evidence from Egypt.md","diglossia",NA,"Bassiouney (2003)"
"87","Bassiouney, 2003. Theories of Code Switching in the Light of Empirical Evidence from Egypt.md","Arabic",NA,"Bassiouney (2003)"
"88","Bassiouney, 2006. Functions of Code Switching in Egypt.md","diglossia",NA,"Bassiouney (2006)"
"89","Bassiouney, 2006. Functions of Code Switching in Egypt.md","code-switching",NA,"Bassiouney (2006)"
"90","Bassiouney, 2006. Functions of Code Switching in Egypt.md","Arabic",NA,"Bassiouney (2006)"
"91","Bassiouney, 2010. Identity and code-choce in the speech of educated women and men in Egypt.md","code-switching",NA,"Bassiouney (2010)"
"92","Bassiouney, 2010. Identity and code-choce in the speech of educated women and men in Egypt.md","Arabic",NA,"Bassiouney (2010)"
"93","Bassiouney, 2013. Language and Revolution in Egypt.md","language-ideology",NA,"Bassiouney (2013)"
"94","Bassiouney, 2013. Language and Revolution in Egypt.md","Arabic","Standard","Bassiouney (2013)"
"95","Bateson, 1967. Arabic Language Handbook.md","Arabic","Standard","Bateson (1967)"
"96","Bateson, 1967. Arabic Language Handbook.md","icraab",NA,"Bateson (1967)"
"97","Beeston, 1970. The Arabic Language Today.md","icraab",NA,"Beeston (1970)"
"98","Beeston, 1970. The Arabic Language Today.md","Arabic",NA,"Beeston (1970)"
"99","Belnap, 2003. Arabic personal correspondence - a window on change in progress?.md","Arabic","Standard","Belnap (2003)"
"100","Belnap, 2003. Arabic personal correspondence - a window on change in progress?.md","diglossia",NA,"Belnap (2003)"
"101","Belnap, 2008. If You Build It, They Will Come.md","Arabic",NA,"Belnap (2008)"
"102","Belnap, 2008. If You Build It, They Will Come.md","language-ideology",NA,"Belnap (2008)"
"103","Benatia, 2006. Arabic text justification.md","Arabic",NA,"Benatia (2006)"
"104","Benatia, 2006. Arabic text justification.md","typography",NA,"Benatia (2006)"
"105","Bennani, 2003. Arab Human Development report 2003 - building a knowledge society.md","Arabic",NA,"Bennani (2003)"
"106","Bennani, 2003. Arab Human Development report 2003 - building a knowledge society.md","language-planning",NA,"Bennani (2003)"
"107","Bennani, 2003. Arab Human Development report 2003 - building a knowledge society.md","language-instruction",NA,"Bennani (2003)"
"108","Bentahila, 1991. Standards for Arabic - One, Two or Many?.md","Arabic","Standard","Bentahila (1991)"
"109","Bentahila, 1991. Standards for Arabic - One, Two or Many?.md","standard-language",NA,"Bentahila (1991)"
"110","Birkeland, 1940. Altarabische pausalformen.md","Arabic","Classical","Birkeland (1940)"
"111","Birkeland, 1940. Altarabische pausalformen.md","ALT",NA,"Birkeland (1940)"
"112","Birkeland, 1940. Altarabische pausalformen.md","pause",NA,"Birkeland (1940)"
"113","Blake, 1994. Case.md","syntax",NA,"Blake (1994)"
"114","Blake, 1994. Case.md","morphology",NA,"Blake (1994)"
"115","Blake, 1994. Case.md","textbook",NA,"Blake (1994)"
"116","Blanc, 1964. Stylistic Variation in Spoken Arabic.md","diglossia",NA,"Blanc (1964)"
"117","Blanc, 1964. Stylistic Variation in Spoken Arabic.md","Arabic",NA,"Blanc (1964)"
"118","Blanc, 1964. Stylistic Variation in Spoken Arabic.md","speech",NA,"Blanc (1964)"
"119","Blau, 1973. Remarks on some syntactic trends in Modern Standard Arabic.md","ALT",NA,"Blau (1973)"
"120","Blau, 1973. Remarks on some syntactic trends in Modern Standard Arabic.md","Arabic","Standard","Blau (1973)"
"121","Blau, 1981. The Renaissance of modern Hebrew and modern standard Arabic.md","Arabic","Standard","Blau (1981)"
"122","Blau, 1981. The Renaissance of modern Hebrew and modern standard Arabic.md","icraab",NA,"Blau (1981)"
"123","Blau, 1999. The Emergence and Linguistic Background of Judaeo-Arabic.md","Arabic",NA,"Blau (1999)"
"124","Blommert, 2006. Language Policy and National Identity.md","language-ideology",NA,"Blommert (2006)"
"125","Bohas, 1990. The Arabic Linguistic Tradition.md","ALT",NA,"Bohas (1990)"
"126","Bohas, 1990. The Arabic Linguistic Tradition.md","Arabic",NA,"Bohas (1990)"
"127","Boudelaa, 2010. Aralex - A lexical database for Modern Standard Arabic.md","Arabic","Standard","Boudelaa (2010)"
"128","Boudelaa, 2010. Aralex - A lexical database for Modern Standard Arabic.md","lexicon",NA,"Boudelaa (2010)"
"129","Boudelaa, 2010. Aralex - A lexical database for Modern Standard Arabic.md","corpus-linguistics",NA,"Boudelaa (2010)"
"130","Braze, 2002. Readers’ Eye Movements Distinguish Anomalies of Form and Content.md","eye-tracking",NA,"Braze (2002)"
"131","Braze, 2002. Readers’ Eye Movements Distinguish Anomalies of Form and Content.md","reading",NA,"Braze (2002)"
"132","Braze, 2002. Readers’ Eye Movements Distinguish Anomalies of Form and Content.md","syntax",NA,"Braze (2002)"
"133","Bucholz, 2001. The Whiteness of Nerds - Superstandard English and Racial Markedness.md","standard-language",NA,"Bucholz (2001)"
"134","Bucholz, 2001. The Whiteness of Nerds - Superstandard English and Racial Markedness.md","English",NA,"Bucholz (2001)"
"135","Buckwalter, 2007. Issues in Arabic Morphological Analysis.md","Arabic",NA,"Buckwalter (2007)"
"136","Buckwalter, 2007. Issues in Arabic Morphological Analysis.md","orthography",NA,"Buckwalter (2007)"
"137","Buckwalter, 2007. Issues in Arabic Morphological Analysis.md","CMC",NA,"Buckwalter (2007)"
"138","Buckwalter, 2007. Issues in Arabic Morphological Analysis.md","corpus-linguistics",NA,"Buckwalter (2007)"
"139","Cabo, 2012. The (Il)Logical Problem of Heritage Speaker Bilingualism and Incomplete Acquisition.md","heritage-speakers",NA,"Cabo (2012)"
"140","Carter, 1985. When did the Arabic word NAḤW come to denote grammar?.md","ALT",NA,"Carter (1985)"
"141","Carter, 1985. When did the Arabic word NAḤW come to denote grammar?.md","Arabic",NA,"Carter (1985)"
"142","Carter, 1999. Standard Grammars, Spoken Grammars - some educational implications.md","standard-language",NA,"Carter (1999)"
"143","Carter, 1999. Standard Grammars, Spoken Grammars - some educational implications.md","English",NA,"Carter (1999)"
"144","Carter, 2006. Grammatical Tradition - History.md","ALT",NA,"Carter (2006)"
"145","Carter, 2006. Grammatical Tradition - History.md","Arabic",NA,"Carter (2006)"
"146","Chahine, 2012. Reading Arabic.md","eye-tracking",NA,"Chahine (2012)"
"147","Chahine, 2012. Reading Arabic.md","reading",NA,"Chahine (2012)"
"148","Chahine, 2012. Reading Arabic.md","typography",NA,"Chahine (2012)"
"149","Chahine, 2012. Reading Arabic.md","orthography",NA,"Chahine (2012)"
"150","Chahine, 2012. Reading Arabic.md","Arabic",NA,"Chahine (2012)"
"151","Chambers, 1997. What do we mean by fluency?.md","speech",NA,"Chambers (1997)"
"152","Chambers, 1997. What do we mean by fluency?.md","prosody",NA,"Chambers (1997)"
"153","Chambers, 1997. What do we mean by fluency?.md","pause",NA,"Chambers (1997)"
"154","Chejne, 1969. The Arabic Language.md","icraab",NA,"Chejne (1969)"
"155","Chejne, 1969. The Arabic Language.md","Arabic",NA,"Chejne (1969)"
"156","Chejne, 1969. The Arabic Language.md","language-planning",NA,"Chejne (1969)"
"157","Clifton, 2007. Eye movements in reading words and sentences.md","eye-tracking",NA,"Clifton (2007)"
"158","Clifton, 2007. Eye movements in reading words and sentences.md","reading",NA,"Clifton (2007)"
"159","Clifton, 2007. Eye movements in reading words and sentences.md","syntax",NA,"Clifton (2007)"
"160","Clifton, 2007. Eye movements in reading words and sentences.md","review-article",NA,"Clifton (2007)"
"161","Cobo, 2012. The (Il)Logical Problem of Heritage Speaker Bilingualism and Incomplete Acquisition.md","heritage-speakers",NA,"Cobo (2012)"
"162","Corriente, 1971. On the Functional Yield of Some Synthetic Devices in Arabic and Semitic Morphology.md","Arabic","Standard","Corriente (1971)"
"163","Corriente, 1971. On the Functional Yield of Some Synthetic Devices in Arabic and Semitic Morphology.md","case",NA,"Corriente (1971)"
"164","Corriente, 1971. On the Functional Yield of Some Synthetic Devices in Arabic and Semitic Morphology.md","icraab",NA,"Corriente (1971)"
"165","Corriente, 1975. Again on the Functional Yield.md","Arabic",NA,"Corriente (1975)"
"166","Corriente, 1975. Again on the Functional Yield.md","case",NA,"Corriente (1975)"
"167","Corriente, 1975. Again on the Functional Yield.md","icraab",NA,"Corriente (1975)"
"168","Coulmas, 1989. The writing systems of the world.md","reading",NA,"Coulmas (1989)"
"169","Coulmas, 1989. The writing systems of the world.md","textbook",NA,"Coulmas (1989)"
"170","Cowell, 2005. A Reference Grammar of Syrian Arabic.md","prosody",NA,"Cowell (2005)"
"171","Cowell, 2005. A Reference Grammar of Syrian Arabic.md","Arabic","Syrian","Cowell (2005)"
"172","Curzan, 2014. Fixing English.md","English",NA,"Curzan (2014)"
"173","Curzan, 2014. Fixing English.md","standard-language",NA,"Curzan (2014)"
"174","Curzan, 2014. Fixing English.md","language-ideology",NA,"Curzan (2014)"
"175","Curzan, 2014. Fixing English.md","language-planning",NA,"Curzan (2014)"
"176","Daher, 1999. (ϴ) and (ð) as ternary and binary variables in Damascene Arabic.md","sociolinguistics",NA,"Daher (1999)"
"177","Daher, 1999. (ϴ) and (ð) as ternary and binary variables in Damascene Arabic.md","Arabic","Standard","Daher (1999)"
"178","Daher, 1999. (ϴ) and (ð) as ternary and binary variables in Damascene Arabic.md","Arabic","Syrian","Daher (1999)"
"179","Dakwar, 2005. Children’s attitudes towards the diglossic situation in Arabic and its impact on learning.md","literacy",NA,"Dakwar (2005)"
"180","Dakwar, 2005. Children’s attitudes towards the diglossic situation in Arabic and its impact on learning.md","language-instruction",NA,"Dakwar (2005)"
"181","Dakwar, 2005. Children’s attitudes towards the diglossic situation in Arabic and its impact on learning.md","FLA",NA,"Dakwar (2005)"
"182","Dakwar, 2005. Children’s attitudes towards the diglossic situation in Arabic and its impact on learning.md","diglossia",NA,"Dakwar (2005)"
"183","Dakwar, 2005. Children’s attitudes towards the diglossic situation in Arabic and its impact on learning.md","Arabic",NA,"Dakwar (2005)"
"184","Dank, 2015. Resolving conflicts in natural and grammatical gender agreement.md","eye-tracking",NA,"Dank (2015)"
"185","Dank, 2015. Resolving conflicts in natural and grammatical gender agreement.md","reading",NA,"Dank (2015)"
